Time, Wald, Feuer
0.0,1000,1000
0.01,1113,886
0.02,1255,811
0.03,1409,782
0.04,1587,746
0.05,1789,753
0.06,2009,773
0.07,2248,801
0.08,2579,811
0.09,2881,843
0.1,3144,1014
0.11,3440,1170
0.12,3669,1373
0.13,3854,1686
0.14,3927,2028
0.15,3819,2503
0.16,3580,2942
0.17,3184,3392
0.18,2765,3718
0.19,2286,3908
0.2,1889,3952
0.21,1566,3829
0.22,1369,3605
0.23,1200,3339
0.24,1065,3033
0.25,983,2742
0.26,920,2432
0.27,918,2159
0.28,950,1923
0.29,978,1745
0.3,1013,1593
0.31,1048,1410
0.32,1125,1284
0.33,1238,1167
0.34,1354,1078
0.35,1489,1024
0.36,1651,984
0.37,1821,934
0.38,2039,933
0.39,2276,945
0.4,2544,955
0.41,2798,1033
0.42,3048,1140
0.43,3293,1280
0.44,3503,1449
0.45,3659,1696
0.46,3724,1960
0.47,3705,2301
0.48,3509,2690
0.49,3251,3071
0.5,2857,3406
0.51,2394,3668
0.52,2000,3747
0.53,1678,3681
0.54,1459,3515
0.55,1271,3325
0.56,1144,3080
0.57,1044,2828
0.58,973,2576
0.59,924,2335
0.6,888,2093
0.61,875,1862
0.62,879,1675
0.63,929,1483
0.64,992,1316
0.65,1063,1187
0.66,1193,1057
0.67,1312,981
0.68,1461,930
0.69,1650,875
0.7,1846,881
0.71,2065,882
0.72,2325,869
0.73,2595,893
0.74,2883,958
0.75,3146,1096
0.76,3434,1228
0.77,3648,1393
0.78,3839,1631
0.79,3889,1952
0.8,3837,2366
0.81,3669,2784
0.82,3252,3297
0.83,2814,3670
0.84,2409,3837
0.85,1932,3987
0.86,1605,3894
0.87,1354,3664
0.88,1156,3375
0.89,1058,3033
0.9,949,2769
0.91,893,2486
0.92,855,2211
0.93,831,1969
0.94,841,1773
0.95,875,1585
0.96,933,1423
0.97,1015,1264
0.98,1104,1136
0.99,1195,1047
1,1314,971
