Time, Wald, Feuer
0.0,1000,1000
0.01,1091,907
0.02,1195,834
0.03,1337,789
0.04,1516,727
0.05,1708,720
0.06,1950,711
0.07,2265,704
0.08,2604,707
0.09,2987,804
0.1,3354,894
0.11,3718,1015
0.12,4030,1237
0.13,4322,1493
0.14,4479,1894
0.15,4361,2436
0.16,3981,3114
0.17,3383,3783
0.18,2814,4245
0.19,2159,4580
0.2,1687,4509
0.21,1340,4293
0.22,1138,3959
0.23,961,3630
0.24,897,3241
0.25,775,2965
0.26,717,2624
0.27,670,2318
0.28,677,2011
0.29,664,1781
0.3,702,1533
0.31,733,1351
0.32,751,1207
0.33,792,1091
0.34,866,972
0.35,969,864
0.36,1117,780
0.37,1312,711
0.38,1488,672
0.39,1712,648
0.4,1991,642
0.41,2295,651
0.42,2514,729
0.43,2873,788
0.44,3206,911
0.45,3502,1068
0.46,3788,1264
0.47,3908,1549
0.48,4052,1873
0.49,4028,2387
0.5,3758,2946
0.51,3291,3511
0.52,2850,3869
0.53,2284,4108
0.54,1833,4158
0.55,1489,3995
0.56,1218,3695
0.57,1065,3410
0.58,931,3074
0.59,878,2740
0.6,825,2454
0.61,805,2134
0.62,789,1887
0.63,790,1681
0.64,834,1517
0.65,884,1329
0.66,950,1206
0.67,1056,1074
0.68,1156,967
0.69,1308,884
0.7,1463,817
0.71,1666,813
0.72,1861,794
0.73,2132,790
0.74,2417,794
0.75,2800,810
0.76,3136,906
0.77,3401,1041
0.78,3746,1230
0.79,3987,1531
0.8,4114,1920
0.81,4124,2380
0.82,3801,2915
0.83,3378,3435
0.84,2904,3813
0.85,2370,4033
0.86,1947,4109
0.87,1575,4029
0.88,1284,3800
0.89,1110,3460
0.9,1004,3146
0.91,892,2856
0.92,816,2541
0.93,805,2300
0.94,811,2007
0.95,830,1777
0.96,870,1596
0.97,931,1446
0.98,1004,1287
0.99,1096,1158
1,1217,1064
