Time, Wald, Feuer
0.0,1000,1000
0.01,1090,918
0.02,1238,834
0.03,1404,785
0.04,1585,725
0.05,1842,686
0.06,2133,696
0.07,2431,689
0.08,2780,724
0.09,3131,808
0.1,3520,942
0.11,3898,1115
0.12,4134,1363
0.13,4344,1713
0.14,4346,2181
0.15,4087,2770
0.16,3696,3289
0.17,3147,3824
0.18,2618,4173
0.19,2117,4257
0.2,1621,4251
0.21,1316,4019
0.22,1123,3645
0.23,981,3348
0.24,891,2987
0.25,817,2643
0.26,785,2350
0.27,745,2092
0.28,730,1859
0.29,739,1640
0.3,780,1468
0.31,794,1329
0.32,833,1197
0.33,902,1063
0.34,995,982
0.35,1118,908
0.36,1259,838
0.37,1427,804
0.38,1606,753
0.39,1850,731
0.4,2111,711
0.41,2378,769
0.42,2701,783
0.43,2975,851
0.44,3286,973
0.45,3654,1059
0.46,3961,1262
0.47,4171,1586
0.48,4261,1980
0.49,4235,2399
0.5,3932,3014
0.51,3404,3563
0.52,2915,3973
0.53,2320,4261
0.54,1825,4323
0.55,1444,4163
0.56,1231,3875
0.57,1018,3543
0.58,807,3215
0.59,742,2835
0.6,678,2531
0.61,672,2200
0.62,663,1929
0.63,652,1728
0.64,685,1525
0.65,736,1380
0.66,776,1227
0.67,852,1065
0.68,926,941
0.69,1017,856
0.7,1146,789
0.71,1331,736
0.72,1517,695
0.73,1705,661
0.74,1996,616
0.75,2265,632
0.76,2630,657
0.77,3047,717
0.78,3425,803
0.79,3893,903
0.8,4289,1123
0.81,4620,1439
0.82,4703,1920
0.83,4698,2459
0.84,4296,3190
0.85,3713,3935
0.86,3029,4411
0.87,2301,4690
0.88,1796,4689
0.89,1388,4493
0.9,1088,4145
0.91,837,3781
0.92,709,3320
0.93,628,2860
0.94,615,2486
0.95,612,2131
0.96,596,1840
0.97,607,1595
0.98,629,1396
0.99,679,1227
1,772,1062
