Time, Wald, Feuer
0.0,1000,1000
0.01,1106,901
0.02,1239,852
0.03,1406,799
0.04,1577,752
0.05,1764,746
0.06,2008,726
0.07,2313,733
0.08,2610,738
0.09,2959,814
0.1,3351,854
0.11,3782,978
0.12,4154,1217
0.13,4364,1552
0.14,4459,1984
0.15,4255,2616
0.16,3860,3184
0.17,3341,3688
0.18,2757,4080
0.19,2062,4432
0.2,1587,4404
0.21,1256,4152
0.22,1004,3797
0.23,875,3408
0.24,771,3038
0.25,712,2682
0.26,693,2374
0.27,689,2077
0.28,657,1827
0.29,661,1598
0.3,686,1405
0.31,753,1210
0.32,827,1064
0.33,912,953
0.34,1015,828
0.35,1181,751
0.36,1360,681
0.37,1533,661
0.38,1731,639
0.39,2003,605
0.4,2310,626
0.41,2652,674
0.42,3040,682
0.43,3513,753
0.44,3957,880
0.45,4411,1061
0.46,4855,1343
0.47,5074,1817
0.48,5021,2406
0.49,4672,3187
0.5,3945,4037
0.51,3076,4694
0.52,2274,5097
0.53,1626,5112
0.54,1248,4803
0.55,974,4417
0.56,782,3949
0.57,668,3487
0.58,553,3071
0.59,495,2674
0.6,473,2319
0.61,482,1964
0.62,504,1675
0.63,541,1409
0.64,586,1199
0.65,617,1033
0.66,681,886
0.67,732,812
0.68,838,712
0.69,960,629
0.7,1099,567
0.71,1239,536
0.72,1465,510
0.73,1690,488
0.74,1918,512
0.75,2201,531
0.76,2545,553
0.77,2992,581
0.78,3413,671
0.79,3907,784
0.8,4416,947
0.81,4885,1188
0.82,5147,1591
0.83,5232,2205
0.84,4851,3099
0.85,4221,3966
0.86,3338,4705
0.87,2481,5148
0.88,1817,5183
0.89,1324,4951
0.9,1009,4589
0.91,817,4106
0.92,673,3620
0.93,587,3160
0.94,519,2752
0.95,465,2423
0.96,461,2062
0.97,478,1789
0.98,500,1544
0.99,552,1354
1,598,1201
