Time, Wald, Feuer
0.0,1000.0,1000.0
0.0001,1318.0,808.0
0.0002,1320.0,807.0
0.0003,1322.0,806.0
0.0004,1324.0,805.0
0.0005,1326.0,804.0
0.0006,1328.0,803.0
0.0007,1330.0,802.0
0.0008,1332.0,801.0
0.0009,1334.0,800.0
0.001,1336.0,799.0
0.0011,1338.0,798.0
0.0012,1340.0,797.0
0.0013,1342.0,796.0
0.0014,1344.0,795.0
0.0015,1346.0,794.0
0.0016,1348.0,793.0
0.0017,1350.0,792.0
0.0018,1352.0,791.0
0.0019,1354.0,790.0
0.002,1356.0,789.0
0.0021,1358.0,788.0
0.0022,1360.0,787.0
0.0023,1362.0,786.0
0.0024,1364.0,785.0
0.0025,1366.0,785.0
0.0026,1368.0,785.0
0.0027,1370.0,785.0
0.0028,1372.0,785.0
0.0029,1374.0,785.0
0.003,1376.0,785.0
0.0031,1378.0,785.0
0.0032,1380.0,785.0
0.0033,1382.0,785.0
0.0034,1384.0,785.0
0.0035,1386.0,785.0
0.0036,1388.0,785.0
0.0037,1390.0,785.0
0.0038,1392.0,785.0
0.0039,1394.0,785.0
0.004,1396.0,785.0
0.0041,1398.0,785.0
0.0042,1400.0,785.0
0.0043,1402.0,785.0
0.0044,1404.0,785.0
0.0045,1406.0,785.0
0.0046,1408.0,785.0
0.0047,1410.0,785.0
0.0048,1412.0,785.0
0.0049,1414.0,785.0
0.005,1416.0,785.0
0.0051,1418.0,785.0
0.0052,1420.0,785.0
0.0053,1422.0,785.0
0.0054,1424.0,785.0
0.0055,1426.0,785.0
0.0056,1428.0,785.0
0.0057,1430.0,785.0
0.0058,1432.0,785.0
0.0059,1434.0,785.0
0.006,1436.0,785.0
0.0061,1438.0,785.0
0.0062,1440.0,785.0
0.0063,1442.0,785.0
0.0064,1444.0,785.0
0.0065,1446.0,785.0
0.0066,1448.0,785.0
0.0067,1450.0,785.0
0.0068,1452.0,785.0
0.0069,1454.0,785.0
0.007,1456.0,785.0
