Time, Wald, Feuer
0.0,1000.0,1000.0
0.01,1100.0,900.0
0.02,1221.0,819.0
0.03,1365.0,755.0
0.04,1535.0,707.0
0.05,1733.0,674.0
0.06,1963.0,656.0
0.07,2227.0,654.0
0.08,2527.0,669.0
0.09,2863.0,704.0
0.1,3234.0,765.0
0.11,3633.0,859.0
0.12,4048.0,999.0
0.13,4453.0,1204.0
0.14,4807.0,1499.0
0.15,5048.0,1920.0
0.16,5088.0,2505.0
0.17,4831.0,3279.0
0.18,4213.0,4207.0
0.19,3283.0,5138.0
0.2,2253.0,5797.0
0.21,1398.0,5944.0
0.22,847.0,5586.0
0.23,543.0,4942.0
0.24,383.0,4222.0
0.25,298.0,3539.0
0.26,252.0,2937.0
0.27,228.0,2424.0
0.28,218.0,1994.0
0.29,218.0,1639.0
0.3,226.0,1347.0
0.31,241.0,1108.0
0.32,262.0,913.0
0.33,290.0,754.0
0.34,326.0,625.0
0.35,371.0,520.0
0.36,426.0,435.0
0.37,493.0,367.0
0.38,574.0,312.0
0.39,671.0,268.0
0.4,787.0,232.0
0.41,926.0,204.0
0.42,1092.0,182.0
0.43,1291.0,165.0
0.44,1528.0,153.0
0.45,1810.0,146.0
0.46,2146.0,143.0
0.47,2545.0,145.0
0.48,3017.0,153.0
0.49,3574.0,169.0
0.5,4228.0,196.0
0.51,4991.0,240.0
0.52,5869.0,312.0
0.53,6860.0,433.0
0.54,7935.0,643.0
0.55,9012.0,1025.0
0.56,9891.0,1744.0
0.57,10144.0,3120.0
0.58,9008.0,5661.0
0.59,5710.0,9628.0
0.6,1354.0,13200.0
0.61,0.0,12347.0
0.62,0.0,9878.0
0.63,0.0,7902.0
0.64,0.0,6322.0
0.65,0.0,5058.0
0.66,0.0,4046.0
0.67,0.0,3237.0
0.68,0.0,2590.0
0.69,0.0,2072.0
0.7,0.0,1658.0
0.71,0.0,1326.0
0.72,0.0,1061.0
0.73,0.0,849.0
0.74,0.0,679.0
0.75,0.0,543.0
0.76,0.0,434.0
0.77,0.0,347.0
0.78,0.0,278.0
0.79,0.0,222.0
0.8,0.0,178.0
0.81,0.0,142.0
0.82,0.0,114.0
0.83,0.0,91.0
0.84,0.0,73.0
0.85,0.0,58.0
0.86,0.0,46.0
0.87,0.0,37.0
0.88,0.0,30.0
0.89,0.0,24.0
0.9,0.0,19.0
0.91,0.0,15.0
0.92,0.0,12.0
0.93,0.0,10.0
0.94,0.0,8.0
0.95,0.0,6.0
0.96,0.0,5.0
0.97,0.0,4.0
0.98,0.0,3.0
0.99,0.0,2.0
1,0.0,2.0
