Time, Wald, Feuer
0.0,1000,1000
0.0001,1001,999
0.0002,1002,998
0.0003,1003,997
0.0004,1004,996
0.0005,1005,995
0.0006,1006,994
0.0007,1007,993
0.0008,1008,992
0.0009,1009,991
0.001,1010,990
0.0011,1011,989
0.0012,1012,988
0.0013,1013,987
0.0014,1014,986
0.0015,1015,985
0.0016,1016,984
0.0017,1017,983
0.0018,1018,982
0.0019,1019,981
0.002,1020,980
0.0021,1021,979
0.0022,1022,978
0.0023,1023,977
0.0024,1024,976
0.0025,1025,975
0.0026,1026,974
0.0027,1027,973
0.0028,1028,972
0.0029,1029,971
0.003,1030,970
0.0031,1031,969
0.0032,1032,968
0.0033,1033,967
0.0034,1034,966
0.0035,1035,965
0.0036,1036,964
0.0037,1037,963
0.0038,1038,962
0.0039,1039,961
0.004,1040,960
0.0041,1041,959
0.0042,1042,958
0.0043,1043,957
0.0044,1044,956
0.0045,1045,955
0.0046,1046,954
0.0047,1047,953
0.0048,1048,952
0.0049,1049,951
0.005,1050,950
0.0051,1051,949
0.0052,1052,948
0.0053,1053,947
0.0054,1054,946
0.0055,1055,945
0.0056,1056,944
0.0057,1057,943
0.0058,1058,942
0.0059,1059,941
0.006,1060,940
0.0061,1061,939
0.0062,1062,938
0.0063,1063,937
0.0064,1064,936
0.0065,1065,935
0.0066,1066,934
0.0067,1067,933
0.0068,1068,932
0.0069,1069,931
0.007,1070,930
0.0071,1071,929
0.0072,1072,928
0.0073,1073,927
0.0074,1074,926
0.0075,1075,925
0.0076,1076,924
0.0077,1077,923
0.0078,1078,922
0.0079,1079,921
0.008,1080,920
0.0081,1081,919
0.0082,1082,918
0.0083,1083,917
0.0084,1084,916
0.0085,1085,915
0.0086,1086,914
0.0087,1087,913
0.0088,1088,912
0.0089,1089,911
0.009,1090,910
0.0091,1091,909
0.0092,1092,908
0.0093,1093,907
0.0094,1094,906
0.0095,1095,905
0.0096,1096,904
0.0097,1097,903
0.0098,1098,902
0.0099,1099,901
0.01,1100,900
0.0101,1101,899
0.0102,1102,898
0.0103,1103,897
0.0104,1104,896
0.0105,1105,895
0.0106,1106,894
0.0107,1107,893
0.0108,1108,892
0.0109,1109,891
0.011,1110,890
0.0111,1111,889
0.0112,1112,888
0.0113,1113,887
0.0114,1114,886
0.0115,1115,885
0.0116,1116,884
0.0117,1117,883
0.0118,1118,882
0.0119,1119,881
0.012,1120,880
0.0121,1121,879
0.0122,1122,878
0.0123,1123,877
0.0124,1124,876
0.0125,1125,875
0.0126,1126,874
0.0127,1127,873
0.0128,1128,872
0.0129,1129,871
0.013,1130,870
0.0131,1131,869
0.0132,1132,868
0.0133,1133,867
0.0134,1134,866
0.0135,1135,865
0.0136,1136,864
0.0137,1137,863
0.0138,1138,862
0.0139,1139,861
0.014,1140,860
0.0141,1141,859
0.0142,1142,858
0.0143,1143,857
0.0144,1144,856
0.0145,1145,855
0.0146,1146,854
0.0147,1147,853
0.0148,1148,852
0.0149,1149,851
0.015,1150,850
0.0151,1151,849
0.0152,1152,848
0.0153,1153,847
0.0154,1154,846
0.0155,1155,845
0.0156,1156,844
0.0157,1157,843
0.0158,1158,842
0.0159,1159,841
0.016,1160,840
0.0161,1161,839
0.0162,1162,838
0.0163,1163,837
0.0164,1164,836
0.0165,1165,835
0.0166,1166,834
0.0167,1167,833
0.0168,1168,832
0.0169,1169,831
0.017,1170,830
0.0171,1171,829
0.0172,1172,828
0.0173,1173,827
0.0174,1174,826
0.0175,1175,825
0.0176,1176,824
0.0177,1177,823
0.0178,1178,822
0.0179,1179,821
0.018,1180,820
0.0181,1181,819
0.0182,1182,818
0.0183,1183,817
0.0184,1184,816
0.0185,1185,815
0.0186,1186,814
0.0187,1187,813
0.0188,1188,812
0.0189,1189,811
0.019,1190,810
0.0191,1191,809
0.0192,1192,808
0.0193,1193,807
0.0194,1194,806
0.0195,1195,805
0.0196,1196,804
0.0197,1197,803
0.0198,1198,802
0.0199,1199,801
0.02,1200,800
0.0201,1201,799
0.0202,1202,798
0.0203,1203,797
0.0204,1204,796
0.0205,1205,795
0.0206,1206,794
0.0207,1207,793
0.0208,1208,792
0.0209,1209,791
0.021,1210,790
0.0211,1211,789
0.0212,1212,788
0.0213,1213,787
0.0214,1214,786
0.0215,1215,785
0.0216,1216,784
0.0217,1217,783
0.0218,1218,782
0.0219,1219,781
0.022,1220,780
0.0221,1221,779
0.0222,1222,778
0.0223,1223,777
0.0224,1224,776
0.0225,1225,775
0.0226,1227,774
0.0227,1229,773
0.0228,1231,772
0.0229,1233,771
0.023,1235,770
0.0231,1237,769
0.0232,1239,768
0.0233,1241,767
0.0234,1243,766
0.0235,1245,765
0.0236,1247,764
0.0237,1249,763
0.0238,1251,762
0.0239,1253,761
0.024,1255,760
0.0241,1257,759
0.0242,1259,758
0.0243,1261,757
0.0244,1263,756
0.0245,1265,755
0.0246,1267,754
0.0247,1269,753
0.0248,1271,752
0.0249,1273,751
0.025,1275,750
0.0251,1277,749
0.0252,1279,748
0.0253,1281,747
0.0254,1283,746
0.0255,1285,745
0.0256,1287,744
0.0257,1289,743
0.0258,1291,742
0.0259,1293,741
0.026,1295,740
0.0261,1297,739
0.0262,1299,738
0.0263,1301,737
0.0264,1303,736
0.0265,1305,735
0.0266,1307,734
0.0267,1309,733
0.0268,1311,732
0.0269,1313,731
0.027,1315,730
0.0271,1317,729
0.0272,1319,729
0.0273,1321,729
0.0274,1323,729
0.0275,1325,729
0.0276,1327,729
0.0277,1329,729
0.0278,1331,729
0.0279,1333,729
0.028,1335,729
0.0281,1337,729
0.0282,1339,729
0.0283,1341,729
0.0284,1343,729
0.0285,1345,729
0.0286,1347,729
0.0287,1349,729
0.0288,1351,729
0.0289,1353,729
0.029,1355,729
0.0291,1357,729
0.0292,1359,729
0.0293,1361,729
0.0294,1363,729
0.0295,1365,729
0.0296,1367,729
0.0297,1369,729
0.0298,1371,729
0.0299,1373,729
0.03,1375,729
0.0301,1377,729
0.0302,1379,729
0.0303,1381,729
0.0304,1383,729
0.0305,1385,729
0.0306,1387,729
0.0307,1389,729
0.0308,1391,729
0.0309,1393,729
0.031,1395,729
0.0311,1397,729
0.0312,1399,729
0.0313,1401,729
0.0314,1403,729
0.0315,1405,729
0.0316,1407,729
0.0317,1409,729
0.0318,1411,729
0.0319,1413,729
0.032,1415,729
0.0321,1417,729
0.0322,1419,729
0.0323,1421,729
0.0324,1423,729
0.0325,1425,729
0.0326,1427,729
0.0327,1429,729
0.0328,1431,729
0.0329,1433,729
0.033,1435,729
0.0331,1437,729
0.0332,1439,729
0.0333,1441,729
0.0334,1443,729
0.0335,1445,729
0.0336,1447,729
0.0337,1449,729
0.0338,1451,729
0.0339,1453,729
0.034,1455,729
0.0341,1457,729
0.0342,1459,729
0.0343,1461,729
0.0344,1463,729
0.0345,1465,729
0.0346,1467,729
0.0347,1469,729
0.0348,1471,729
0.0349,1473,729
0.035,1475,729
0.0351,1477,729
0.0352,1479,729
0.0353,1481,729
0.0354,1483,729
0.0355,1485,729
0.0356,1487,729
0.0357,1489,729
0.0358,1491,729
0.0359,1493,729
0.036,1495,729
0.0361,1497,729
0.0362,1499,729
0.0363,1501,729
0.0364,1503,729
0.0365,1505,729
0.0366,1507,729
0.0367,1509,729
0.0368,1511,729
0.0369,1513,729
0.037,1515,729
0.0371,1517,729
0.0372,1519,729
0.0373,1521,729
0.0374,1523,729
0.0375,1525,729
0.0376,1527,729
0.0377,1529,729
0.0378,1531,729
0.0379,1533,729
0.038,1535,729
0.0381,1537,729
0.0382,1539,729
0.0383,1541,729
0.0384,1543,729
0.0385,1545,729
0.0386,1547,729
0.0387,1549,729
0.0388,1551,729
0.0389,1553,729
0.039,1555,729
0.0391,1557,729
0.0392,1559,729
0.0393,1561,729
0.0394,1563,729
0.0395,1565,729
0.0396,1567,729
0.0397,1569,729
0.0398,1571,729
0.0399,1573,729
0.04,1575,729
0.0401,1577,729
0.0402,1579,729
0.0403,1581,729
0.0404,1583,729
0.0405,1585,729
0.0406,1587,729
0.0407,1589,729
0.0408,1591,729
0.0409,1593,729
0.041,1595,729
0.0411,1597,729
0.0412,1599,729
0.0413,1601,729
0.0414,1603,729
0.0415,1605,729
0.0416,1607,729
0.0417,1609,729
0.0418,1611,729
0.0419,1613,729
0.042,1615,729
0.0421,1617,729
0.0422,1619,729
0.0423,1621,729
0.0424,1623,729
0.0425,1625,729
0.0426,1627,729
0.0427,1629,729
0.0428,1631,729
0.0429,1633,729
0.043,1635,729
0.0431,1637,729
0.0432,1639,729
0.0433,1641,729
0.0434,1643,729
0.0435,1645,729
0.0436,1647,729
0.0437,1649,729
0.0438,1651,729
0.0439,1653,729
0.044,1655,729
0.0441,1657,729
0.0442,1659,729
0.0443,1661,729
0.0444,1663,729
0.0445,1665,729
0.0446,1667,729
0.0447,1669,729
0.0448,1671,729
0.0449,1673,729
0.045,1675,729
0.0451,1677,729
0.0452,1679,729
0.0453,1681,729
0.0454,1683,729
0.0455,1685,729
0.0456,1687,729
0.0457,1689,729
0.0458,1691,729
0.0459,1693,729
0.046,1695,729
0.0461,1697,729
0.0462,1699,729
0.0463,1701,729
0.0464,1703,729
0.0465,1705,729
